*######################################################*
#                                                      #
#                                                      #
#                    Printing C_nt                     #
#                                                      #
#                                                      #
*######################################################*
*##################        [0. 0. 0.]        ###################*
MO=     0 AO=     9 C_nt=   0.003180
MO=     0 AO=    10 C_nt=   0.002910
MO=     0 AO=    11 C_nt=   0.002910
MO=     0 AO=    12 C_nt=   0.000697
MO=     0 AO=    15 C_nt=   0.000697
*##################        [0. 0. 1.]        ###################*
MO=     1 AO=     0 C_nt=   0.006837
MO=     1 AO=     1 C_nt=  -0.004662
MO=     1 AO=     2 C_nt=  -0.005274
MO=     1 AO=     3 C_nt=  -0.005274
MO=     1 AO=     4 C_nt=   0.011867
MO=     1 AO=     9 C_nt=   0.029415
MO=     1 AO=    12 C_nt=   0.001701
MO=     1 AO=    13 C_nt=  -0.000414
MO=     1 AO=    15 C_nt=   0.001701
MO=     1 AO=    17 C_nt=  -0.000414
*##################        [0. 0. 1.]        ###################*
MO=     2 AO=     0 C_nt=  -0.002666
MO=     2 AO=     1 C_nt=   0.000907
MO=     2 AO=     2 C_nt=   0.002137
MO=     2 AO=     3 C_nt=  -0.006867
MO=     2 AO=     5 C_nt=  -0.004261
MO=     2 AO=    10 C_nt=   0.017177
MO=     2 AO=    12 C_nt=  -0.002287
MO=     2 AO=    13 C_nt=   0.000873
MO=     2 AO=    16 C_nt=  -0.000920
*##################        [0. 0. 1.]        ###################*
MO=     3 AO=     0 C_nt=  -0.002666
MO=     3 AO=     1 C_nt=   0.000907
MO=     3 AO=     2 C_nt=  -0.006867
MO=     3 AO=     3 C_nt=   0.002137
MO=     3 AO=     6 C_nt=  -0.004261
MO=     3 AO=    11 C_nt=   0.017177
MO=     3 AO=    14 C_nt=  -0.000920
MO=     3 AO=    15 C_nt=  -0.002287
MO=     3 AO=    17 C_nt=   0.000873
*##################        [0. 0. 1.]        ###################*
MO=     4 AO=     0 C_nt=   0.000963
MO=     4 AO=     1 C_nt=  -0.051714
MO=     4 AO=     3 C_nt=   0.054019
MO=     4 AO=     4 C_nt=   0.016316
MO=     4 AO=     5 C_nt=  -0.018859
MO=     4 AO=     7 C_nt=   0.002582
MO=     4 AO=     9 C_nt=  -0.002164
MO=     4 AO=    10 C_nt=   0.027631
MO=     4 AO=    12 C_nt=  -0.007043
MO=     4 AO=    15 C_nt=  -0.000465
MO=     4 AO=    16 C_nt=  -0.002931
MO=     4 AO=    17 C_nt=  -0.001315
*##################        [0. 0. 1.]        ###################*
MO=     5 AO=     2 C_nt=   0.015512
MO=     5 AO=     4 C_nt=   0.001902
MO=     5 AO=     5 C_nt=  -0.004588
MO=     5 AO=     9 C_nt=  -0.020654
MO=     5 AO=    10 C_nt=  -0.012139
MO=     5 AO=    13 C_nt=  -0.000607
MO=     5 AO=    15 C_nt=  -0.003670
MO=     5 AO=    16 C_nt=  -0.001510
MO=     5 AO=    17 C_nt=   0.001002
*##################        [0. 0. 1.]        ###################*
MO=     6 AO=     0 C_nt=   0.000805
MO=     6 AO=     1 C_nt=   0.055044
MO=     6 AO=     3 C_nt=  -0.053273
MO=     6 AO=     6 C_nt=   0.000300
MO=     6 AO=     8 C_nt=  -0.005191
MO=     6 AO=    11 C_nt=  -0.002210
MO=     6 AO=    14 C_nt=  -0.002468
MO=     6 AO=    15 C_nt=   0.000215
MO=     6 AO=    16 C_nt=  -0.001049
MO=     6 AO=    17 C_nt=   0.001636
*##################        [0. 0. 1.]        ###################*
MO=     7 AO=     0 C_nt=   0.000963
MO=     7 AO=     1 C_nt=  -0.051714
MO=     7 AO=     2 C_nt=   0.054019
MO=     7 AO=     4 C_nt=   0.016316
MO=     7 AO=     6 C_nt=  -0.018859
MO=     7 AO=     7 C_nt=  -0.002582
MO=     7 AO=     9 C_nt=  -0.002164
MO=     7 AO=    11 C_nt=   0.027631
MO=     7 AO=    12 C_nt=  -0.000465
MO=     7 AO=    13 C_nt=  -0.001315
MO=     7 AO=    14 C_nt=  -0.002931
MO=     7 AO=    15 C_nt=  -0.007043
*##################        [0. 0. 1.]        ###################*
MO=     8 AO=     0 C_nt=   0.000805
MO=     8 AO=     1 C_nt=   0.055044
MO=     8 AO=     2 C_nt=  -0.053273
MO=     8 AO=     5 C_nt=   0.000300
MO=     8 AO=     8 C_nt=  -0.005191
MO=     8 AO=    10 C_nt=  -0.002210
MO=     8 AO=    12 C_nt=   0.000215
MO=     8 AO=    13 C_nt=   0.001636
MO=     8 AO=    14 C_nt=  -0.001049
MO=     8 AO=    16 C_nt=  -0.002468
*##################        [0. 0. 1.]        ###################*
MO=     9 AO=     3 C_nt=   0.015512
MO=     9 AO=     4 C_nt=   0.001902
MO=     9 AO=     6 C_nt=  -0.004588
MO=     9 AO=     9 C_nt=  -0.020654
MO=     9 AO=    11 C_nt=  -0.012139
MO=     9 AO=    12 C_nt=  -0.003670
MO=     9 AO=    13 C_nt=   0.001002
MO=     9 AO=    14 C_nt=  -0.001510
MO=     9 AO=    17 C_nt=  -0.000607
*##################        [-1.  0.  0.]        ###################*
MO=     0 AO=     0 C_nt=  -0.004857
MO=     0 AO=     1 C_nt=  -0.000810
MO=     0 AO=     2 C_nt=   0.020661
MO=     0 AO=     4 C_nt=  -0.002492
MO=     0 AO=     5 C_nt=   0.004078
MO=     0 AO=     6 C_nt=  -0.004078
MO=     0 AO=     8 C_nt=   0.014170
MO=     0 AO=     9 C_nt=   0.000799
MO=     0 AO=    10 C_nt=   0.007717
MO=     0 AO=    11 C_nt=  -0.007717
MO=     0 AO=    12 C_nt=   0.002190
MO=     0 AO=    13 C_nt=  -0.004073
MO=     0 AO=    14 C_nt=   0.003076
MO=     0 AO=    15 C_nt=  -0.006393
MO=     0 AO=    16 C_nt=   0.008919
*##################        [-1.  0.  0.]        ###################*
MO=     1 AO=     1 C_nt=   0.001293
MO=     1 AO=     2 C_nt=   0.000505
MO=     1 AO=     3 C_nt=  -0.000582
MO=     1 AO=     4 C_nt=  -0.004268
MO=     1 AO=     5 C_nt=   0.011484
MO=     1 AO=     7 C_nt=   0.005688
MO=     1 AO=     9 C_nt=   0.000451
MO=     1 AO=    10 C_nt=   0.000445
